TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
5841170,8.235,5.2459999999999996,-1003.816,-831.25,910.0,1260.0,0.0,0.0,0.0
5841670,1.342,-2.989,-983.259,-936.25,656.25,1295.0,0.0,0.0,0.0
5842170,6.466,8.113,-1004.792,-796.25,743.75,1190.0,0.0,0.0,0.0
5842670,7.381,1.22,-1002.352,-831.25,700.0,1207.5,0.0,0.0,0.0
5843170,7.869,4.514,-1000.888,-857.5,778.75,1242.5,0.0,0.0,0.0
5843670,4.941,3.843,-1000.644,-953.75,962.5,1303.75,0.0,0.0,0.0
5844170,10.552999999999999,4.941,-1002.413,-743.75,822.5,1207.5,0.0,0.0,0.0
5844670,6.771,3.1109999999999998,-1003.755,-866.25,796.25,1207.5,0.0,0.0,0.0
5845170,7.808,3.5989999999999998,-1004.365,-621.25,761.25,1277.5,0.0,0.0,0.0
5845670,6.466,3.477,-1001.742,-866.25,857.5,1181.25,0.0,0.0,0.0
5846170,9.394,3.904,-1003.389,-691.25,857.5,1408.75,0.0,0.0,0.0
5846670,5.978,3.1109999999999998,-1002.169,-866.25,726.25,1120.0,0.0,0.0,0.0
5847170,6.343999999999999,3.1719999999999997,-1000.156,-726.25,875.0,1207.5,0.0,0.0,0.0
5847670,7.1979999999999995,2.44,-1002.413,-831.25,726.25,1268.75,0.0,0.0,0.0
5848269,7.381,3.1719999999999997,-1004.4259999999999,-708.75,752.5,1338.75,0.0,0.0,0.0
5848680,7.686,2.806,-998.692,-866.25,813.75,1338.75,0.0,0.0,0.0
5849170,6.343999999999999,3.721,-1002.779,-796.25,857.5,1225.0,0.0,0.0,0.0
5849670,9.577,3.904,-1002.84,-840.0,831.25,1172.5,0.0,0.0,0.0
5850170,5.978,4.3309999999999995,-1003.6329999999999,-708.75,673.75,1312.5,0.0,0.0,0.0
5850670,7.869,4.758,-1005.158,-778.75,691.25,1242.5,0.0,0.0,0.0
5851170,7.1979999999999995,2.928,-1003.694,-638.75,813.75,1286.25,0.0,0.0,0.0
5851670,7.625,3.904,-1000.461,-796.25,945.0,1225.0,0.0,0.0,0.0
5852270,5.795,1.159,-1003.694,-761.25,962.5,1242.5,0.0,0.0,0.0
5852683,6.405,4.3309999999999995,-1002.169,-945.0,910.0,1163.75,0.0,0.0,0.0
5853170,7.93,3.233,-1002.2909999999999,-953.75,752.5,1286.25,0.0,0.0,0.0
5853670,7.93,3.66,-1001.254,-901.25,988.75,1163.75,0.0,0.0,0.0
5854170,5.368,2.379,-1003.572,-901.25,708.75,1163.75,0.0,0.0,0.0
5854670,6.832,1.83,-1005.5849999999999,-787.5,945.0,1163.75,0.0,0.0,0.0
5855170,7.991,9.272,-1008.208,-831.25,840.0,1163.75,0.0,0.0,0.0
5855670,5.49,5.551,-1000.827,-840.0,883.75,1225.0,0.0,0.0,0.0
5856269,7.442,1.769,-993.263,-857.5,918.75,1312.5,0.0,0.0,0.0
5856684,5.063,0.915,-997.35,-813.75,796.25,1093.75,0.0,0.0,0.0
5857170,6.161,0.305,-985.394,-875.0,787.5,1085.0,0.0,0.0,0.0
5857670,7.32,1.708,-1003.6329999999999,-787.5,752.5,1268.75,0.0,0.0,0.0
5858170,7.32,-1.83,-1002.352,-892.5,770.0,1146.25,0.0,0.0,0.0
5858670,3.721,7.1979999999999995,-1001.132,-910.0,770.0,1251.25,0.0,0.0,0.0
