TimeStamp,Code
163508.1198,sw_8
163509.1255,sw_10
163510.1684,sw_10
163511.3947,sw_10
163512.4953,sw_10
163513.5648,sw_11
163513.8986,sw_20
163514.6898,sw_10
163515.838,sw_11
163516.0587,sw_20
163516.8785,sw_10
163518.0417,sw_10
163519.143,sw_10
163520.2552,sw_10
163521.3719,sw_10
163522.4844,sw_11
163522.6869,sw_20
163523.5985,sw_10
163524.7153,sw_10
163525.8142,sw_10
163526.9359,sw_10
163527.9273,sw_10
163529.169,sw_11
163529.3739,sw_20
163530.2716,sw_10
163531.3892,sw_10
163532.4572,sw_10
163533.574,sw_10
163534.6361,sw_11
163534.9528,sw_20
163535.7844,sw_10
163537.2473,sw_8
163538.333,sw_10
163539.4477,sw_10
163540.5071,sw_10
163541.6771,sw_11
163541.9155,sw_20
163542.7752,sw_10
163543.8868,sw_11
163544.2604,sw_20
163545.0061,sw_10
163546.0465,sw_10
163547.2342,sw_10
163548.2948,sw_10
163549.4539,sw_10
163550.5606,sw_11
163550.8507,sw_20
163551.6757,sw_10
163552.7772,sw_10
163553.8931,sw_10
163554.9579,sw_11
163555.1679,sw_20
163556.0739,sw_10
163557.1156,sw_10
163558.1916,sw_10
163559.4085,sw_10
163560.5224,sw_10
163561.6371,sw_10
163562.7472,sw_10
163563.8423,sw_11
163564.1732,sw_20
163564.9234,sw_10
163566.6132,sw_8
163567.6809,sw_10
163568.8335,sw_10
163569.947,sw_11
163570.235,sw_20
163570.9579,sw_10
163572.0889,sw_10
163573.2344,sw_10
163574.3857,sw_10
163575.5022,sw_11
163575.7094,sw_20
163576.5594,sw_10
163577.714,sw_10
163578.8461,sw_10
163579.9613,sw_11
163580.2243,sw_20
163580.9792,sw_10
163582.1769,sw_10
163583.2909,sw_10
163584.3865,sw_10
163585.4996,sw_11
163585.7655,sw_20
163586.6101,sw_10
163587.6684,sw_10
163588.8386,sw_10
163589.938,sw_10
163591.0496,sw_10
163592.1243,sw_10
163593.2802,sw_10
163594.3921,sw_11
163594.722,sw_20
163596.9776,sw_8
163597.9965,sw_10
163599.1587,sw_11
163599.4519,sw_20
163600.2184,sw_10
163601.2346,sw_10
163602.4868,sw_10
163603.5986,sw_10
163604.6656,sw_10
163605.7332,sw_10
163606.8497,sw_10
163607.9983,sw_11
163608.2045,sw_20
163609.1154,sw_10
163610.2316,sw_10
163611.3562,sw_10
163612.4101,sw_10
163613.5714,sw_11
163613.8451,sw_20
163614.6986,sw_10
163615.8107,sw_11
163616.0783,sw_20
163616.9261,sw_10
163617.9882,sw_10
163619.1294,sw_10
163620.2572,sw_10
163621.3248,sw_11
163621.6339,sw_20
163622.4695,sw_10
163623.5386,sw_10
163624.65,sw_10
163627.2627,sw_8
163628.2982,sw_10
163629.3265,sw_10
163630.4332,sw_10
163631.519,sw_10
163632.71,sw_11
163632.9251,sw_20
163633.7372,sw_10
163634.8896,sw_10
163636.0459,sw_10
163637.1649,sw_11
163637.4148,sw_20
163638.2105,sw_10
163639.3875,sw_10
163640.4497,sw_10
163641.6064,sw_10
163642.7213,sw_10
163643.8025,sw_11
163644.0461,sw_20
163644.8919,sw_10
163646.003,sw_11
163646.3717,sw_20
163647.0922,sw_10
163648.2269,sw_10
163649.306,sw_10
163650.4138,sw_10
163651.5708,sw_10
163652.6452,sw_10
163653.795,sw_11
163654.0432,sw_20
163654.8924,sw_10
163657.4706,sw_8
163658.4664,sw_11
163658.8363,sw_20
163659.47,sw_10
163660.6993,sw_10
163661.8115,sw_10
163662.9337,sw_10
163664.047,sw_10
163665.1488,sw_11
163665.4065,sw_20
163666.2583,sw_10
163667.3321,sw_10
163668.4772,sw_10
163669.5479,sw_10
163670.4849,sw_10
163671.7663,sw_11
163671.8843,sw_20
163672.8859,sw_10
163673.9433,sw_10
163675.1004,sw_10
163676.2113,sw_10
163677.2748,sw_11
163677.5425,sw_20
163678.4386,sw_10
163679.4644,sw_10
163680.6096,sw_10
163681.769,sw_10
163682.8862,sw_11
163683.0271,sw_20
163683.9997,sw_10
163685.0995,sw_10
163686.4805,sw_8
163687.4988,sw_11
163687.8373,sw_20
163688.5621,sw_10
163689.7328,sw_10
163690.8125,sw_10
163691.8983,sw_10
163693.0382,sw_10
163694.1902,sw_10
163695.255,sw_11
163695.5225,sw_20
163696.3643,sw_10
163697.3014,sw_10
163698.5856,sw_10
163699.7031,sw_10
163700.8494,sw_10
163701.8736,sw_11
163702.2047,sw_20
163702.9919,sw_10
163704.1482,sw_10
163705.0916,sw_10
163706.3646,sw_10
163707.4782,sw_11
163707.7116,sw_20
163708.5864,sw_10
163709.7017,sw_10
163710.8016,sw_10
163711.8667,sw_11
163712.1986,sw_20
163713.0406,sw_10
163714.1514,sw_10
163716.4055,sw_8
163717.5694,sw_11
163717.8852,sw_20
163718.674,sw_10
163719.7956,sw_10
163720.9109,sw_10
163721.9987,sw_10
163723.1568,sw_11
163723.3551,sw_20
163724.274,sw_10
163725.2558,sw_10
163726.4912,sw_10
163727.6044,sw_10
163728.7094,sw_10
163729.781,sw_10
163730.9351,sw_10
163731.9999,sw_10
163733.1191,sw_11
163733.3575,sw_20
163734.2338,sw_10
163735.2548,sw_10
163736.4494,sw_10
163737.5614,sw_11
163737.915,sw_20
163738.6052,sw_10
163739.7169,sw_10
163740.9016,sw_10
163741.9588,sw_10
163743.0661,sw_10
163744.2248,sw_11
163744.5017,sw_20
163746.1468,sw_8
163747.1271,sw_10
163748.3114,sw_11
163748.5575,sw_20
163749.3765,sw_10
163750.4428,sw_10
163751.6034,sw_10
163752.7159,sw_11
163752.955,sw_20
163753.8225,sw_10
163754.9402,sw_10
163756.0493,sw_10
163757.1627,sw_10
163758.0773,sw_10
163759.4083,sw_10
163760.5487,sw_10
163761.6553,sw_11
163761.8795,sw_20
163762.7537,sw_10
163763.8324,sw_10
163764.9278,sw_11
163765.3301,sw_20
163766.0414,sw_10
163767.1585,sw_10
163768.1872,sw_10
163769.3124,sw_10
163770.5185,sw_10
163771.5571,sw_11
163771.8989,sw_20
163772.7152,sw_10
163773.8286,sw_10
163775.2948,sw_8
163776.2689,sw_10
163777.4577,sw_10
163778.4655,sw_10
163779.5869,sw_11
163779.9436,sw_20
163780.8093,sw_10
163781.9278,sw_11
163782.1547,sw_20
163783.0456,sw_10
163784.1347,sw_10
163785.2649,sw_10
163786.3784,sw_10
163787.4478,sw_10
163788.4778,sw_10
163789.6642,sw_11
163789.9177,sw_20
163790.7751,sw_10
163791.8867,sw_10
163792.8772,sw_10
163794.0309,sw_10
163795.222,sw_11
163795.5428,sw_20
163796.2809,sw_10
163797.448,sw_10
163798.5628,sw_11
163798.8515,sw_20
163799.6033,sw_10
163800.7759,sw_10
163801.8478,sw_10
163803.0049,sw_10
