TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
163503.5941,164.151,978.806,98.21,5311.25,-5670.0,-1627.5,-559.36,846.64,261.44
163503.6442,163.358,978.013,86.62,4865.0,-5381.25,-4375.0,-574.56,842.08,264.48
163503.6943,166.591,976.61,86.742,5460.0,-5512.5,-4287.5,-568.48,848.16,259.92
163503.7444,145.668,983.747,91.073,5363.75,-7245.0,-2493.75,-576.08,846.64,266.0
163503.7945,154.025,980.209,84.485,9878.75,-7665.0,-1986.25,-570.0,840.56,281.2
163503.8446,141.154,984.479,91.439,4042.5,-8461.25,-2625.0,-566.96,843.6,269.04
163503.8947,136.945,980.148,80.642,4252.5,-11786.25,-3123.75,-548.72,831.44,275.12
163503.9448,127.002,993.019,78.995,5206.25,-9721.25,-2651.25,-559.36,836.0,285.76
163503.9949,120.719,984.357,77.165,3841.25,-14525.0,-2537.5,-568.48,828.4,279.68
163504.045,128.344,978.806,69.601,4900.0,-10823.75,-1627.5,-566.96,825.36,275.12
163504.0951,125.355,994.605,69.845,5145.0,-8522.5,472.5,-559.36,834.48,270.56
163504.1452,105.53,995.886,76.189,4112.5,-11488.75,1802.5,-565.44,836.0,287.28
163504.1953,95.831,984.723,56.73,6895.0,-13781.25,4060.0,-574.56,831.44,281.2
163504.2454,113.399,995.093,49.349,3771.25,-21840.0,8478.75,-563.92,822.32,279.68
163504.2958,108.702,990.213,57.401,2581.25,-25917.5,13370.0,-557.84,836.0,310.08
163504.3457,142.801,990.396,42.09,1846.25,-26766.25,19040.0,-579.12,820.8,284.24
163504.3958,136.701,985.089,44.164,901.25,-36811.25,24115.0,-563.92,828.4,288.8
163504.4459,197.091,977.647,17.812,-866.25,-40048.75,28323.75,-559.36,846.64,284.24
163504.496,212.097,957.029,28.426,-2660.0,-42280.0,29951.25,-556.32,837.52,279.68
163504.5461,262.91,968.131,9.028,-2231.25,-25978.75,26818.75,-566.96,846.64,284.24
163504.5962,262.666,976.122,35.746,-4453.75,-34151.25,26180.0,-559.36,858.8,291.84
163504.6463,313.418,937.753,42.517,-7262.5,-39620.0,27553.75,-559.36,851.2,297.92
163504.6964,362.096,925.98,15.494,-122.5,-28490.0,28997.5,-565.44,858.8,288.8
163504.7465,342.149,923.967,13.725,3430.0,-26661.25,24001.25,-548.72,864.88,296.4
163504.7966,405.101,911.95,-29.707,6098.75,-22382.5,20063.75,-548.72,886.16,302.48
163504.8467,397.537,917.196,-19.52,4340.0,-20405.0,15872.5,-550.24,874.0,299.44
163504.8968,429.135,902.556,-26.352,1933.75,-18900.0,12433.75,-541.12,880.08,300.96
163504.9469,439.749,877.485,-44.713,3473.75,-2240.0,3902.5,-542.64,893.76,319.2
163504.997,406.443,935.862,-13.969,-1522.5,1207.5,-2765.0,-539.6,889.2,311.6
163505.0472,399.672,920.917,-8.845,-2441.25,5398.75,-2765.0,-550.24,886.16,297.92
163505.0973,373.991,916.281,8.235,-3587.5,-1846.25,-420.0,-548.72,887.68,308.56
163505.1474,393.755,907.985,6.344,-3211.25,-3097.5,367.5,-554.8,892.24,308.56
163505.1975,393.389,920.185,12.2,-2905.0,-3062.5,682.5,-553.28,880.08,290.32
163505.2476,405.589,916.159,11.59,-1697.5,-778.75,-761.25,-557.84,892.24,304.0
163505.2977,375.089,913.475,19.093,1216.25,-3736.25,997.5,-551.76,892.24,307.04
163505.3478,391.376,919.758,13.969,962.5,-420.0,1006.25,-538.08,887.68,297.92
163505.3979,387.228,917.318,12.505,2021.25,-945.0,245.0,-559.36,890.72,293.36
163505.448,379.054,915.305,13.054,2030.0,1085.0,-1277.5,-542.64,901.36,302.48
163505.4981,378.932,915.244,18.971,2012.5,-481.25,-1225.0,-545.68,887.68,297.92
163505.5482,388.082,920.917,15.799,-280.0,-1303.75,-323.75,-554.8,892.24,296.4
163505.5983,388.631,914.695,18.971,1111.25,-1146.25,-796.25,-544.16,898.32,291.84
163505.6484,391.315,913.658,19.947,1802.5,2738.75,-2415.0,-548.72,886.16,294.88
163505.6985,376.98,924.455,29.524,2353.75,3981.25,-2336.25,-539.6,893.76,299.44
163505.7486,387.899,917.44,22.936,2922.5,2826.25,560.0,-550.24,877.04,299.44
163505.7988,374.784,912.133,23.607,5696.25,4803.75,183.75,-553.28,898.32,287.28
163505.8489,373.869,919.026,20.069,5477.5,-1146.25,-796.25,-542.64,889.2,291.84
163505.899,378.81,915.0,15.372,3430.0,-3648.75,-472.5,-553.28,889.2,293.36
163505.9491,368.196,921.283,21.289,1933.75,-1627.5,-463.75,-551.76,892.24,299.44
163505.9992,411.201,921.466,22.997,472.5,3438.75,393.75,-556.32,890.72,307.04
163506.0493,424.926,894.626,43.127,6693.75,3106.25,-2983.75,-544.16,881.6,299.44
163506.0994,518.5,874.862,-21.411,20230.0,28945.0,-15706.25,-553.28,883.12,293.36
163506.1495,321.775,927.932,49.044,31631.25,46226.25,-31325.0,-556.32,896.8,304.0
163506.1996,268.827,954.223,-13.054,37747.5,68451.25,-31176.25,-547.2,883.12,297.92
163506.2497,258.579,969.107,-14.64,22697.5,42210.0,-22785.0,-556.32,887.68,308.56
163506.2998,234.118,969.595,-7.625,13343.75,32042.5,-20536.25,-557.84,875.52,302.48
163506.3499,227.591,959.103,-20.923,12101.25,26652.5,-16581.25,-562.4,864.88,320.72
163506.4,231.19,959.835,-15.555,11637.5,19416.25,-12775.0,-557.84,867.92,304.0
163506.4501,255.651,958.493,-25.254,7376.25,9240.0,-6457.5,-557.84,866.4,304.0
163506.5002,242.353,954.955,-24.644,11943.75,14070.0,-9423.75,-551.76,869.44,307.04
163506.5504,248.087,975.207,-28.792,9292.5,14420.0,-12670.0,-545.68,877.04,305.52
