epoch,from_stage,to_stage,timestamp_min
48,W,N1,24.0
50,N1,W,25.0
53,W,N2,26.5
54,N2,W,27.0
55,W,N2,27.5
66,N2,N3,33.0
68,N3,N2,34.0
71,N2,N3,35.5
72,N3,N2,36.0
75,N2,N3,37.5
76,N3,N2,38.0
78,N2,N3,39.0
80,N3,N2,40.0
81,N2,N3,40.5
85,N3,N2,42.5
87,N2,W,43.5
90,W,N3,45.0
91,N3,W,45.5
92,W,N3,46.0
93,N3,N2,46.5
94,N2,N3,47.0
96,N3,N2,48.0
103,N2,W,51.5
106,W,N2,53.0
118,N2,N3,59.0
172,N3,W,86.0
173,W,N2,86.5
186,N2,N3,93.0
187,N3,N2,93.5
188,N2,N3,94.0
197,N3,N2,98.5
198,N2,N3,99.0
200,N3,N2,100.0
206,N2,R,103.0
209,R,W,104.5
210,W,R,105.0
213,R,W,106.5
217,W,R,108.5
222,R,W,111.0
228,W,R,114.0
229,R,W,114.5
230,W,R,115.0
239,R,W,119.5
240,W,R,120.0
241,R,W,120.5
243,W,N1,121.5
245,N1,N2,122.5
265,N2,N3,132.5
266,N3,N2,133.0
268,N2,N3,134.0
269,N3,N2,134.5
270,N2,N3,135.0
333,N3,W,166.5
338,W,N2,169.0
344,N2,N3,172.0
358,N3,W,179.0
359,W,N2,179.5
360,N2,W,180.0
361,W,N2,180.5
362,N2,W,181.0
367,W,N2,183.5
368,N2,W,184.0
371,W,N2,185.5
372,N2,W,186.0
373,W,N2,186.5
390,N2,W,195.0
391,W,N2,195.5
395,N2,W,197.5
397,W,N3,198.5
398,N3,N2,199.0
399,N2,W,199.5
400,W,N3,200.0
401,N3,W,200.5
402,W,N2,201.0
403,N2,N3,201.5
445,N3,W,222.5
453,W,N2,226.5
472,N2,N3,236.0
504,N3,N2,252.0
516,N2,R,258.0
533,R,W,266.5
535,W,N1,267.5
536,N1,W,268.0
537,W,R,268.5
606,R,W,303.0
607,W,R,303.5
643,R,W,321.5
644,W,R,322.0
646,R,N1,323.0
647,N1,N2,323.5
648,N2,R,324.0
649,R,N2,324.5
650,N2,R,325.0
651,R,N2,325.5
657,N2,W,328.5
658,W,N2,329.0
659,N2,W,329.5
662,W,N2,331.0
668,N2,W,334.0
669,W,N2,334.5
696,N2,N3,348.0
720,N3,W,360.0
721,W,N2,360.5
722,N2,N3,361.0
740,N3,R,370.0
744,R,N3,372.0
746,N3,R,373.0
747,R,W,373.5
748,W,R,374.0
749,R,N2,374.5
750,N2,W,375.0
751,W,N3,375.5
765,N3,W,382.5
766,W,N2,383.0
768,N2,N3,384.0
771,N3,N2,385.5
774,N2,N3,387.0
789,N3,N2,394.5
797,N2,W,398.5
799,W,N1,399.5
801,N1,N2,400.5
817,N2,R,408.5
845,R,W,422.5
847,W,N1,423.5
848,N1,R,424.0
849,R,N2,424.5
850,N2,R,425.0
864,R,W,432.0
865,W,R,432.5
871,R,N2,435.5
873,N2,R,436.5
874,R,N2,437.0
895,N2,N1,447.5
896,N1,N2,448.0
961,N2,W,480.5
962,W,N1,481.0
964,N1,N2,482.0
976,N2,R,488.0
977,R,N2,488.5
983,N2,R,491.5
987,R,W,493.5
989,W,R,494.5
990,R,W,495.0
