TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
19846880,-744,180,16913,45,-114,-89,-258,36,-205
19847380,-790,216,16921,33,-114,-102,-248,31,-191
19847880,-782,194,16915,54,-111,-99,-251,32,-197
19848380,-770,238,16910,53,-120,-92,-243,33,-195
19848880,-766,219,16915,48,-116,-87,-250,34,-188
19849380,-761,226,16901,35,-120,-96,-251,35,-199
19849880,-762,233,16855,53,-117,-109,-250,31,-214
19850380,-738,201,16912,49,-115,-108,-249,33,-189
19850880,-774,226,16924,47,-110,-108,-247,39,-190
19851380,-779,245,16850,49,-116,-90,-253,38,-214
19851880,-833,217,16910,39,-104,-106,-259,21,-213
19852380,-754,224,16960,40,-119,-86,-265,39,-202
19852880,-784,229,16920,36,-105,-97,-250,46,-205
19853380,-741,204,16867,38,-110,-102,-248,26,-208
19853880,-777,233,16915,36,-105,-96,-255,31,-203
19854380,-784,244,16893,41,-112,-111,-265,35,-209
19854880,-800,180,16916,32,-118,-102,-245,34,-192
19855380,-777,213,16909,34,-108,-100,-261,26,-199
19855880,-749,190,16908,39,-112,-92,-253,33,-184
19856380,-790,232,16861,45,-111,-88,-247,31,-200
19856880,-776,244,16872,42,-128,-97,-244,33,-192
19857380,-780,219,16909,48,-108,-96,-246,36,-198
19857880,-795,204,16875,39,-125,-102,-255,32,-199
19858380,-765,225,16928,38,-100,-98,-246,29,-197
19858880,-777,199,16873,41,-132,-106,-249,40,-193
19859380,-796,208,16920,44,-110,-96,-248,36,-185
19859880,-769,227,16910,37,-97,-93,-255,34,-216
19860380,-754,216,16863,47,-120,-95,-246,41,-189
19860880,-811,195,16868,43,-116,-96,-246,31,-199
19861380,-793,195,16911,39,-103,-94,-252,37,-194
19861880,-732,202,16920,35,-113,-104,-250,33,-201
19862380,-776,224,16933,40,-107,-88,-256,35,-201
19862880,-797,241,16907,45,-105,-88,-257,30,-200
19863380,-751,210,16931,54,-119,-117,-260,37,-196
19863880,-758,205,16951,45,-125,-86,-257,28,-202
19864380,-769,173,16898,54,-123,-100,-262,30,-209
19864880,-728,188,16931,54,-129,-103,-246,27,-195
19865380,-785,221,16849,42,-120,-101,-246,36,-197
19865880,-780,207,16888,36,-100,-104,-245,38,-190
19866380,-766,177,16919,47,-114,-99,-260,23,-199
19866880,-751,225,16870,40,-108,-102,-245,32,-207
19867380,-764,223,16887,39,-108,-109,-240,43,-185
19867880,-718,196,16878,33,-107,-103,-245,38,-194
19868380,-750,183,16899,52,-122,-90,-250,42,-201
19868880,-766,194,16883,44,-106,-97,-255,27,-213
19869380,-748,242,16921,35,-100,-94,-257,31,-202
19869880,-742,214,16909,50,-119,-103,-258,41,-191
19870380,-795,196,16906,39,-105,-95,-244,32,-198
19870880,-770,190,16889,40,-111,-102,-252,35,-202
19871380,-773,185,16877,43,-117,-106,-254,37,-191
19871880,-771,211,16853,45,-110,-92,-251,32,-197
19872380,-767,210,16921,37,-106,-100,-245,35,-190
19872880,-778,213,16850,40,-121,-100,-253,29,-205
19873380,-753,234,16861,44,-110,-102,-251,34,-187
19873880,-764,194,16854,37,-107,-91,-253,38,-225
19874380,-809,224,16906,39,-109,-101,-260,33,-211
19874880,-747,189,16937,49,-126,-107,-248,32,-186
19875380,-748,175,16901,37,-117,-97,-265,37,-216
19875880,-762,194,16911,36,-112,-109,-252,35,-201
19876380,-782,200,16882,39,-120,-103,-261,37,-205
19876880,-748,200,16893,51,-121,-96,-257,33,-193
19877380,-778,258,16888,46,-113,-92,-253,40,-194
19877880,-767,208,16851,53,-123,-100,-248,38,-198
19878380,-809,213,16869,52,-114,-100,-254,34,-195
19878880,-768,215,16847,46,-129,-108,-246,29,-197
19879380,-779,170,16886,37,-103,-85,-244,33,-194
